exchange;first_currency;second_currency;exchange_pair_id;time;open;high;low;close;volume;market_cap
BEQUANT;BTC;USDB;2;2024-01-01 00:00:00+00:00;42329.51;45872.36;40639.13;43645.27;48.04836;
BEQUANT;BTC;USDB;2;2023-12-25 00:00:00+00:00;42890.71;43753.17;41482.0;42162.12;5.64511;
BEQUANT;BTC;USDB;2;2023-12-18 00:00:00+00:00;41219.94;44227.18;40540.48;43088.05;5.10256;
BEQUANT;BTC;USDB;2;2023-12-11 00:00:00+00:00;43767.34;43767.34;40227.47;41289.96;11.29861;
BEQUANT;BTC;USDB;2;2023-12-04 00:00:00+00:00;40025.73;44649.82;40025.73;43625.62;22.22978;
BEQUANT;BTC;USDB;2;2023-11-27 00:00:00+00:00;37496.8;40140.41;36799.11;40140.41;6.84252;
BEQUANT;BTC;USDB;2;2023-11-20 00:00:00+00:00;37212.74;38349.25;36052.2;37484.49;12.31603;
BEQUANT;BTC;USDB;2;2023-11-13 00:00:00+00:00;36660.2;37172.16;34983.64;37172.16;1.22536;
BEQUANT;BTC;USDB;2;2023-11-06 00:00:00+00:00;35168.78;37951.45;35068.44;37136.8;12.41447;
BEQUANT;BTC;USDB;2;2023-10-30 00:00:00+00:00;34336.82;35388.85;34183.94;35366.67;3.23977;
BEQUANT;BTC;USDB;2;2023-10-23 00:00:00+00:00;30315.36;35091.53;30315.36;34459.34;11.39148;
BEQUANT;BTC;USDB;2;2023-10-16 00:00:00+00:00;27145.21;30229.24;27145.1;30007.32;3.04107;
BEQUANT;BTC;USDB;2;2023-10-09 00:00:00+00:00;27566.73;27566.73;26697.79;27167.13;1.12782;
BEQUANT;BTC;USDB;2;2023-10-02 00:00:00+00:00;28111.34;28363.37;27208.48;27936.59;3.19447;
BEQUANT;BTC;USDB;2;2023-09-25 00:00:00+00:00;26307.6;27814.73;26275.68;27814.73;1.7419;
BEQUANT;BTC;USDB;2;2023-09-18 00:00:00+00:00;26632.3;27429.55;26260.77;26260.77;0.87695;
BEQUANT;BTC;USDB;2;2023-09-11 00:00:00+00:00;25516.07;26836.51;25072.47;26576.05;1.83627;
BEQUANT;BTC;USDB;2;2023-09-04 00:00:00+00:00;25916.25;26324.28;25452.64;25605.61;1.38023;
BEQUANT;BTC;USDB;2;2023-08-28 00:00:00+00:00;26128.15;28033.62;25354.13;26045.85;18.36779;
BEQUANT;BTC;USDB;2;2023-08-21 00:00:00+00:00;26006.06;26716.89;25612.66;25982.48;0.61001;
BEQUANT;BTC;USDB;2;2023-08-14 00:00:00+00:00;29248.58;29617.36;24913.29;26200.13;45.20247;
BEQUANT;BTC;USDB;2;2023-08-07 00:00:00+00:00;29031.93;30036.1;28939.12;29308.54;20.97563;
BEQUANT;BTC;USDB;2;2023-07-31 00:00:00+00:00;29461.72;29545.67;28641.34;29000.58;18.67272;
BEQUANT;BTC;USDB;2;2023-07-24 00:00:00+00:00;29792.45;29794.56;28886.06;29229.01;35.82043;
BEQUANT;BTC;USDB;2;2023-07-17 00:00:00+00:00;30296.07;30424.15;29653.09;30287.91;4.46861;
BEQUANT;BTC;USDB;2;2023-07-10 00:00:00+00:00;30036.34;31728.58;30036.34;30291.97;1.65258;
BEQUANT;BTC;USDB;2;2023-07-03 00:00:00+00:00;31312.07;31377.64;29899.48;30277.44;6.79196;
BEQUANT;BTC;USDB;2;2023-06-26 00:00:00+00:00;30458.89;31066.25;29835.04;30510.15;9.75534;
BEQUANT;BTC;USDB;2;2023-06-19 00:00:00+00:00;28032.69;31310.1;28032.69;30456.02;3.52745;
BEQUANT;BTC;USDB;2;2023-06-12 00:00:00+00:00;25942.07;26609.36;24843.43;26609.26;55.42204;
BEQUANT;BTC;USDB;2;2023-06-05 00:00:00+00:00;26855.68;27155.93;25424.01;25849.53;11.19731;
BEQUANT;BTC;USDB;2;2023-05-29 00:00:00+00:00;27984.77;27992.31;26602.56;27135.55;1.95456;
BEQUANT;BTC;USDB;2;2023-05-22 00:00:00+00:00;26783.34;28232.79;25999.18;28232.79;6.16375;
BEQUANT;BTC;USDB;2;2023-05-15 00:00:00+00:00;27033.5;27250.97;26530.93;26942.51;147.96618;
BEQUANT;BTC;USDB;2;2023-05-08 00:00:00+00:00;27547.93;28059.23;26235.59;26944.54;1.86757;
BEQUANT;BTC;USDB;2;2023-05-01 00:00:00+00:00;29336.45;29522.6;28014.39;28955.67;4.78787;
BEQUANT;BTC;USDB;2;2023-04-24 00:00:00+00:00;27728.16;29787.74;27597.22;29409.45;4.95029;
BEQUANT;BTC;USDB;2;2023-04-17 00:00:00+00:00;29863.12;29863.12;27222.2;27754.19;0.94122;
BEQUANT;BTC;USDB;2;2023-04-10 00:00:00+00:00;28470.2;30915.44;28470.2;30493.65;7.72532;
BEQUANT;BTC;USDB;2;2023-04-03 00:00:00+00:00;28015.65;28426.98;27358.88;28043.61;4.72008;
BEQUANT;BTC;USDB;2;2023-03-27 00:00:00+00:00;27997.38;29182.33;26769.88;28522.3;1.62168;
BEQUANT;BTC;USDB;2;2023-03-20 00:00:00+00:00;27515.24;28921.9;26963.41;28019.4;25.08708;
BEQUANT;BTC;USDB;2;2023-03-13 00:00:00+00:00;22203.25;28385.85;21917.52;28368.78;25.31427;
BEQUANT;BTC;USDB;2;2023-03-06 00:00:00+00:00;21783.55;22179.24;19598.38;22145.26;44.83371;
BEQUANT;BTC;USDB;2;2023-02-27 00:00:00+00:00;23305.34;23305.34;22134.45;22373.44;3.94066;
BEQUANT;BTC;USDB;2;2023-02-20 00:00:00+00:00;23889.66;25195.22;22976.61;23005.28;5.47398;
